MOIS,JOUR,CA
October             ,        22,  20000.84
October             ,        23,     23568
October             ,        24,  24746.65
October             ,        25,  19721.41
October             ,        26,  22992.44
October             ,        27,  24750.43
October             ,        28,  16877.15
October             ,        29,  19172.34
October             ,        30,  22770.46
October             ,        31,  27679.42
November            ,         1,  22548.07
November            ,         2,  23077.49
November            ,         3,  24836.76
November            ,         4,  25768.08
November            ,         5,     16513
November            ,         6,   29176.9
November            ,         7,  22035.11
November            ,         8,   21834.4
November            ,         9,  27435.16
November            ,        10,  19955.34
November            ,        11,  22785.56
November            ,        12,  22103.99
November            ,        13,  25599.12
November            ,        14,  27853.93
November            ,        15,   24287.3
November            ,        16,  29751.24
November            ,        17,  33547.43
November            ,        18,  24306.25
November            ,        19,  20997.77
November            ,        20,  45282.56
November            ,        21,  37698.69
November            ,        22,  26944.11
November            ,        23,  51196.96
November            ,        24, 176503.33
November            ,        25,  66573.97
November            ,        26,  48575.23
November            ,        27,   53512.2
November            ,        28,  55486.68
November            ,        29,  41369.31
November            ,        30,  30394.57
December            ,         1,  42784.45
December            ,         2,  29288.85
December            ,         3,  32081.66
December            ,         4,  46443.91
December            ,         5,  37559.82
December            ,         6,  40501.51
December            ,         7,  30637.76
December            ,         8,   30300.9
December            ,         9,  19443.25
December            ,        10,  23429.83
December            ,        11,  33057.53
December            ,        12,  34496.67
December            ,        13,  37527.58
December            ,        14,  23743.12
December            ,        15,  28518.26
December            ,        16,  17996.46
December            ,        17,  19558.61
December            ,        18,  30182.31
December            ,        19,  21082.09
December            ,        20,   27925.9
December            ,        21,  18376.69
December            ,        22,  15683.33
December            ,        23,  11563.35
December            ,        24,   5523.42
December            ,        25,   9607.84
December            ,        26,  19180.41
December            ,        27,  18056.61
December            ,        28,     14791
December            ,        29,  17016.12
December            ,        30,  13287.67
December            ,        31,   8337.09
